NOC,Gold,Silver,Bronze,Total
USA,343,271,214,828
URS,64,55,74,193
GBR,56,83,72,211
FIN,48,36,30,114
GDR,38,36,35,109
KEN,34,41,31,106
POL,29,20,17,66
JAM,26,36,24,86
ITA,24,15,26,65
GER,23,46,44,113
ETH,23,12,23,58
AUS,21,27,28,76
SWE,20,23,41,84
RUS,19,21,19,59
CAN,15,17,32,64
FRA,14,26,30,70
FRG,12,14,17,43
CUB,11,14,20,45
ROU,11,14,10,35
TCH,11,8,5,24
HUN,10,12,18,40
CHN,10,12,15,37
NZL,10,3,13,26
RSA,9,13,6,28
GRE,8,12,10,30
NED,8,7,9,24
NOR,8,7,8,23
EUN,7,11,3,21
JPN,7,10,10,27
MAR,7,5,8,20
BAH,7,2,5,14
BEL,6,5,3,14
BUL,5,8,6,19
BRA,5,3,11,19
POR,5,3,4,12
CZE,5,2,8,15
ALG,4,3,2,9
IRL,4,2,1,7
UGA,4,1,2,7
MEX,3,6,2,11
ESP,3,5,8,16
BLR,3,5,7,15
TTO,3,4,8,15
LTU,3,1,2,6
CRO,3,1,1,5
NGR,2,5,7,14
UKR,2,3,13,18
ARG,2,3,0,5
DOM,2,3,0,5
TUN,2,2,1,5
BRN,2,2,0,4
EST,2,1,3,6
KAZ,2,1,2,5
CMR,2,0,0,2
COL,1,3,1,5
AUT,1,2,5,8
QAT,1,2,1,4
SLO,1,2,1,4
IND,1,2,0,3
GRN,1,1,1,3
VEN,1,1,1,3
BDI,1,1,0,2
ECU,1,1,0,2
ROC,1,1,0,2
KOR,1,1,0,2
PAN,1,0,2,3
MOZ,1,0,1,2
PUR,1,0,1,2
LUX,1,0,0,1
SVK,1,0,0,1
SYR,1,0,0,1
TJK,1,0,0,1
SUI,0,6,2,8
NAM,0,5,0,5
DEN,0,4,3,7
LAT,0,4,1,5
CHI,0,2,0,2
SRI,0,2,0,2
TAN,0,2,0,2
YUG,0,2,0,2
BOT,0,1,1,2
TPE,0,1,1,2
ISL,0,1,1,2
BOH,0,1,0,1
CIV,0,1,0,1
GUA,0,1,0,1
HAI,0,1,0,1
IRI,0,1,0,1
KSA,0,1,0,1
SEN,0,1,0,1
SUD,0,1,0,1
ZAM,0,1,0,1
PHI,0,0,2,2
TUR,0,0,2,2
WIF,0,0,2,2
ANZ,0,0,1,1
BAR,0,0,1,1
BUR,0,0,1,1
DJI,0,0,1,1
ERI,0,0,1,1
SRB,0,0,1,1