NOC,Gold,Silver,Bronze,Total
USA,10,11,7,28
JAM,4,5,3,12
GBR,4,2,0,6
ETH,3,2,3,8
KEN,2,4,7,13
RUS,2,3,2,7
AUS,2,1,0,3
POL,2,0,0,2
GER,1,5,2,8
CHN,1,4,4,9
TTO,1,1,2,4
FRA,1,1,1,3
DOM,1,1,0,2
CZE,1,0,2,3
ALG,1,0,0,1
BRN,1,0,0,1
CRO,1,0,0,1
GRN,1,0,0,1
HUN,1,0,0,1
KAZ,1,0,0,1
NZL,1,0,0,1
RSA,1,0,0,1
BAH,1,0,0,1
TUN,1,0,0,1
UGA,1,0,0,1
CUB,0,1,2,3
BOT,0,1,0,1
CAN,0,1,0,1
COL,0,1,0,1
FIN,0,1,0,1
GUA,0,1,0,1
IRI,0,1,0,1
QAT,0,1,0,1
SLO,0,1,0,1
UKR,0,0,3,3
EST,0,0,1,1
IRL,0,0,1,1
ITA,0,0,1,1
JPN,0,0,1,1
LTU,0,0,1,1
MAR,0,0,1,1
PUR,0,0,1,1
ESP,0,0,1,1
