NOC,Gold,Silver,Bronze,Total
USA,7,12,7,26
ITA,5,0,0,5
KEN,4,4,2,10
POL,4,2,3,9
JAM,4,1,4,9
NED,2,3,3,8
CHN,2,2,1,5
CAN,2,1,3,6
UGA,2,1,1,4
NOR,2,1,0,3
SWE,2,1,0,3
BAH,2,0,0,2
GER,1,2,0,3
ETH,1,1,2,4
POR,1,1,0,2
ROC,1,1,0,2
BEL,1,0,1,2
GRE,1,0,0,1
IND,1,0,0,1
MAR,1,0,0,1
PUR,1,0,0,1
QAT,1,0,0,1
VEN,1,0,0,1
GBR,0,2,3,5
COL,0,2,0,2
DOM,0,2,0,2
AUS,0,1,2,3
CUB,0,1,2,3
CZE,0,1,1,2
JPN,0,1,1,2
BRN,0,1,0,1
FRA,0,1,0,1
NAM,0,1,0,1
BRA,0,0,2,2
NZL,0,0,2,2
AUT,0,0,1,1
BLR,0,0,1,1
BOT,0,0,1,1
BUR,0,0,1,1
GRN,0,0,1,1
NGR,0,0,1,1
ESP,0,0,1,1
UKR,0,0,1,1