NOC, Gold, Silver, Bronze, Total
CHN, 48, 22, 30, 100
USA, 36, 39, 37, 112
RUS, 24, 13, 23, 60
GBR, 19, 13, 19, 51
GER, 16, 11, 14, 41
AUS, 14, 15, 17, 46
KOR, 13, 11, 8, 32
JPN, 9, 8, 8, 25
ITA, 8, 9, 10, 27
FRA, 7, 16, 20, 43
NED, 7, 5, 4, 16
UKR, 7, 4, 11, 22
KEN, 6, 4, 6, 16
ESP, 5, 11, 3, 19
JAM, 5, 4, 2, 11
POL, 4, 5, 2, 11
ETH, 4, 2, 1, 7
ROU, 4, 1, 4, 9
CUB, 3, 10, 17, 30
CAN, 3, 9, 8, 20
HUN, 3, 5, 2, 10
NOR, 3, 5, 1, 9
BRA, 3, 4, 10, 17
BLR, 3, 4, 7, 14
CZE, 3, 3, 1, 7
SVK, 3, 3, 0, 6
NZL, 3, 2, 4, 9
GEO, 3, 2, 2, 7
KAZ, 2, 3, 4, 9
DEN, 2, 2, 3, 7
PRK, 2, 2, 2, 6
THA, 2, 2, 2, 6
MGL, 2, 2, 0, 4
SUI, 2, 1, 4, 7
ARG, 2, 0, 4, 6
MEX, 2, 0, 2, 4
BEL, 2, 0, 0, 2
ZIM, 1, 3, 0, 4
SLO, 1, 2, 2, 5
AZE, 1, 1, 4, 6
INA, 1, 1, 4, 6
BUL, 1, 1, 3, 5
TUR, 1, 1, 3, 5
TPE, 1, 1, 2, 4
FIN, 1, 1, 2, 4
LAT, 1, 1, 1, 3
DOM, 1, 1, 0, 2
EST, 1, 1, 0, 2
POR, 1, 1, 0, 2
TTO, 1, 1, 0, 2
IND, 1, 0, 2, 3
IRI, 1, 0, 1, 2
CMR, 1, 0, 0, 1
PAN, 1, 0, 0, 1
TUN, 1, 0, 0, 1
SWE, 0, 4, 1, 5
LTU, 0, 3, 2, 5
NGR, 0, 3, 2, 5
CRO, 0, 2, 3, 5
COL, 0, 2, 1, 3
GRE, 0, 2, 1, 3
ARM, 0, 1, 4, 5
UZB, 0, 1, 3, 4
AUT, 0, 1, 2, 3
IRL, 0, 1, 2, 3
KGZ, 0, 1, 2, 3
SRB, 0, 1, 2, 3
ALG, 0, 1, 1, 2
MAR, 0, 1, 1, 2
TJK, 0, 1, 1, 2
BAH, 0, 1, 1, 2
CHI, 0, 1, 0, 1
ECU, 0, 1, 0, 1
ISL, 0, 1, 0, 1
MAS, 0, 1, 0, 1
SAM, 0, 1, 0, 1
SGP, 0, 1, 0, 1
RSA, 0, 1, 0, 1
SUD, 0, 1, 0, 1
VIE, 0, 1, 0, 1
EGY, 0, 0, 2, 2
AFG, 0, 0, 1, 1
ISR, 0, 0, 1, 1
MRI, 0, 0, 1, 1
MDA, 0, 0, 1, 1
TOG, 0, 0, 1, 1
VEN, 0, 0, 1, 1